PREMISES_TYPE,DIVISION,OCC_HOUR,OFFENCE
Commercial,D22,20,Robbery - Mugging
Outside,D31,0,Robbery With Weapon
Other,D52,23,Robbery - Swarming
Commercial,D41,23,Robbery - Business
Outside,D32,22,Robbery - Swarming
Outside,D31,0,Robbery - Mugging
Commercial,D31,21,Robbery - Purse Snatch
Outside,D55,20,Robbery - Other
Commercial,D31,19,Robbery - Business
Outside,D51,19,Robbery - Mugging
Commercial,D31,20,Robbery - Business
Commercial,D31,20,Robbery - Business
Outside,D55,4,Robbery - Mugging
Outside,D33,14,Robbery - Other
Commercial,D42,14,Robbery - Business
Outside,D51,23,Robbery - Mugging
Apartment,D31,13,Robbery - Home Invasion
Apartment,D31,13,Robbery - Home Invasion
Apartment,D31,13,Robbery - Home Invasion
Outside,D55,5,Robbery - Purse Snatch
Outside,D55,5,Robbery - Purse Snatch
Educational,D55,17,Robbery With Weapon
Educational,D55,17,Robbery With Weapon
Outside,D54,20,Robbery - Mugging
Commercial,D22,21,Robbery With Weapon
Outside,D55,3,Robbery - Swarming
Outside,D52,9,Robbery - Purse Snatch
Other,D13,19,Robbery - Purse Snatch
Educational,D41,15,Robbery - Swarming
Outside,D23,16,Robbery - Other
Outside,D12,13,Robbery - Mugging
Outside,D12,13,Robbery - Mugging
Commercial,D23,17,Robbery - Business
Transit,D14,9,Robbery - Mugging
House,D33,9,Robbery - Home Invasion
Outside,D32,14,Robbery - Mugging
Outside,D55,19,Robbery - Other
Outside,D43,8,Robbery - Purse Snatch
Outside,D52,18,Robbery - Mugging
Commercial,NSA,0,Robbery - Financial Institute
Commercial,NSA,0,Robbery - Financial Institute
Educational,D41,15,Robbery With Weapon
Commercial,NSA,0,Robbery - Financial Institute
Outside,D55,19,Robbery - Mugging
House,NSA,3,Robbery - Other
Outside,D43,8,Robbery - Mugging
Outside,D51,22,Robbery - Mugging
Commercial,D23,22,Robbery With Weapon
Commercial,D55,14,Robbery - Other
House,D12,22,Robbery - Home Invasion
House,D12,22,Robbery - Home Invasion
House,D12,22,Robbery - Home Invasion
Outside,D54,20,Robbery - Mugging
House,D12,20,Robbery - Home Invasion
Outside,D14,3,Robbery With Weapon
Outside,D22,3,Robbery - Taxi
Outside,D32,5,Robbery - Purse Snatch
Outside,D23,22,Robbery - Mugging
Outside,D51,23,Robbery - Other
Educational,D12,15,Robbery - Mugging
Outside,D51,12,Robbery - Mugging
Outside,D52,13,Robbery - Other
Apartment,D43,17,Robbery With Weapon
Apartment,D51,9,Robbery - Other
Outside,D51,4,Robbery - Mugging
Outside,D14,1,Robbery - Mugging
Commercial,D52,0,Robbery - Mugging
Outside,D23,22,Robbery With Weapon
Commercial,D52,23,Robbery - Mugging
Outside,D11,22,Robbery With Weapon
Outside,D51,23,Robbery - Mugging
Outside,D51,21,Robbery - Mugging
House,D23,17,Robbery - Home Invasion
House,D23,17,Robbery - Home Invasion
House,D23,17,Robbery - Home Invasion
House,D23,17,Robbery - Home Invasion
Apartment,D43,17,Robbery With Weapon
Outside,D22,14,Robbery - Swarming
Outside,D22,0,Robbery - Swarming
Outside,D42,23,Robbery - Mugging
Commercial,D22,23,Robbery - Business
Educational,D12,12,Robbery - Swarming
Commercial,D11,12,Robbery - Financial Institute
Outside,D55,19,Robbery - Other
Outside,D55,19,Robbery - Other
Outside,D55,19,Robbery - Other
Commercial,D42,18,Robbery - Financial Institute
Outside,D55,19,Robbery - Other
Outside,D55,19,Robbery - Other
Apartment,D13,18,Robbery With Weapon
Other,D55,16,Robbery - Delivery Person
Commercial,D51,17,Robbery - Business
Outside,D54,3,Robbery - Mugging
Commercial,D31,13,Robbery - Financial Institute
House,D14,1,Robbery - Home Invasion
Commercial,D31,20,Robbery - Business
Commercial,D11,13,Robbery - Financial Institute
Outside,D13,14,Robbery - Purse Snatch
Commercial,D12,15,Robbery - Financial Institute
Commercial,D13,13,Robbery - Financial Institute
Apartment,D53,17,Robbery - Mugging
Commercial,D13,20,Robbery - Business
Outside,D12,20,Robbery - Mugging
Commercial,D31,20,Robbery - Business
Commercial,D31,19,Robbery - Business
Commercial,D22,15,Robbery - Financial Institute
Outside,D32,20,Robbery - Purse Snatch
Commercial,D52,23,Robbery - Business
Apartment,NSA,23,Robbery - Other
Outside,D33,18,Robbery With Weapon
Outside,D14,1,Robbery - Mugging
Outside,D52,1,Robbery - Other
Outside,D52,1,Robbery - Other
Commercial,D41,15,Robbery - Business
Commercial,D52,18,Robbery - Other
Outside,D33,18,Robbery With Weapon
Commercial,D52,5,Robbery With Weapon
Apartment,D51,0,Robbery - Swarming
Outside,D42,11,Robbery - Purse Snatch
Outside,D33,19,Robbery - Purse Snatch
Outside,D31,0,Robbery - Swarming
Commercial,D43,23,Robbery With Weapon
Outside,D33,18,Robbery - Mugging
Commercial,D31,18,Robbery - Business
Outside,D32,21,Robbery With Weapon
Commercial,D43,23,Robbery - Business
Commercial,D31,22,Robbery - Business
Commercial,D43,23,Robbery With Weapon
Commercial,D31,21,Robbery - Business
Outside,D32,19,Robbery With Weapon
Outside,D55,20,Robbery - Mugging
Commercial,D31,20,Robbery - Mugging
Apartment,D14,21,Robbery - Home Invasion
Commercial,D31,23,Robbery With Weapon
Commercial,D51,19,Robbery With Weapon
Outside,D42,19,Robbery - Other
Outside,D33,17,Robbery - Mugging
Apartment,D11,12,Robbery - Home Invasion
Outside,D13,17,Robbery - Mugging
Outside,D14,12,Robbery - Mugging
Outside,D14,12,Robbery - Mugging
Outside,D14,12,Robbery - Purse Snatch
Commercial,D54,14,Robbery - Other
Outside,D33,19,Robbery - Mugging
Outside,D33,15,Robbery - Mugging
Other,D52,11,Robbery - Business
Outside,D43,23,Robbery - Mugging
Outside,D43,23,Robbery - Mugging
Commercial,D14,5,Robbery - Other
Outside,D12,15,Robbery - Mugging
Outside,D12,15,Robbery - Mugging
Outside,D12,15,Robbery - Other
Apartment,D43,17,Robbery - Mugging
Transit,D54,18,Robbery With Weapon
Transit,D33,20,Robbery - Swarming
House,D31,20,Robbery - Delivery Person
Outside,D42,17,Robbery - Mugging
Apartment,D43,17,Robbery - Mugging
Outside,D32,23,Robbery - Purse Snatch
Commercial,D43,20,Robbery - Business
Outside,D22,12,Robbery With Weapon
Outside,D22,12,Robbery With Weapon
Outside,D22,12,Robbery With Weapon
Outside,D22,12,Robbery With Weapon
Commercial,D32,18,Robbery - Financial Institute
Commercial,D11,18,Robbery - Financial Institute
Apartment,D22,20,Robbery - Purse Snatch
Outside,D42,16,Robbery - Other
Commercial,D23,0,Robbery - Business
Outside,D42,15,Robbery - Mugging
Commercial,D22,7,Robbery - Financial Institute
Commercial,D22,7,Robbery - Financial Institute
Transit,D54,14,Robbery With Weapon
Commercial,D22,18,Robbery - Business
Outside,D31,20,Robbery With Weapon
Outside,D54,1,Robbery With Weapon
Outside,D54,20,Robbery - Vehicle Jacking
Outside,D54,20,Robbery - Vehicle Jacking
Outside,D51,19,Robbery - Taxi
Outside,D54,2,Robbery - Mugging
Outside,D54,2,Robbery - Mugging
Outside,D14,15,Robbery - Purse Snatch
Commercial,D52,19,Robbery - Business
Commercial,D23,21,Robbery - Business
Commercial,D23,21,Robbery - Business
Outside,D55,23,Robbery With Weapon
Commercial,D41,3,Robbery - Swarming
Outside,D23,1,Robbery - Purse Snatch
Outside,D11,19,Robbery - Mugging
Outside,D23,23,Robbery - Purse Snatch
Apartment,D12,17,Robbery - Mugging
Transit,D54,13,Robbery - Other
Outside,D54,18,Robbery - Mugging
Outside,D51,7,Robbery - Mugging
Outside,D23,12,Robbery - Mugging
Outside,D14,17,Robbery With Weapon
Commercial,D22,18,Robbery With Weapon
Transit,D41,21,Robbery - Mugging
Commercial,D12,14,Robbery - Mugging
Commercial,D43,12,Robbery - Other
Apartment,D31,18,Robbery With Weapon
Apartment,D41,21,Robbery - Home Invasion
Apartment,D14,23,Robbery - Home Invasion
Outside,D32,8,Robbery - Purse Snatch
Apartment,D14,23,Robbery - Home Invasion
Apartment,D14,23,Robbery - Home Invasion
Transit,D32,5,Robbery - Other
Commercial,D42,13,Robbery - Business
Commercial,D42,13,Robbery - Business
Commercial,D42,13,Robbery - Business
Commercial,D42,13,Robbery - Business
Commercial,D42,13,Robbery - Business
Outside,D13,22,Robbery - Mugging
Outside,D23,14,Robbery - Vehicle Jacking
Apartment,D31,15,Robbery - Swarming
Outside,D14,23,Robbery - Other
Commercial,NSA,15,Robbery - Financial Institute
Outside,D32,18,Robbery - Mugging
Outside,D31,7,Robbery - Swarming
Apartment,D43,1,Robbery - Mugging
Outside,D51,2,Robbery - Mugging
Outside,D14,12,Robbery With Weapon
Educational,D41,14,Robbery - Mugging
Commercial,D23,20,Robbery - Business
Outside,D43,15,Robbery With Weapon
Outside,D32,23,Robbery - Purse Snatch
Outside,D11,21,Robbery - Swarming
Outside,D22,20,Robbery - Swarming
Commercial,D32,19,Robbery - Financial Institute
Outside,D54,20,Robbery With Weapon
Outside,D54,20,Robbery With Weapon
Commercial,D23,20,Robbery With Weapon
Commercial,D23,20,Robbery With Weapon
Outside,NSA,23,Robbery - Swarming
Educational,D41,14,Robbery - Mugging
Outside,D11,21,Robbery - Swarming
Outside,D41,23,Robbery - Mugging
Outside,D54,18,Robbery With Weapon
Outside,D41,20,Robbery With Weapon
Apartment,D43,13,Robbery - Other
Outside,D51,22,Robbery - Other
Outside,D54,18,Robbery - Mugging
Outside,D23,23,Robbery - Mugging
Outside,D23,23,Robbery - Mugging
Outside,D43,0,Robbery - Other
Outside,D23,7,Robbery - Other
Outside,D51,0,Robbery With Weapon
Outside,D51,11,Robbery - Other
Outside,D51,11,Robbery - Other
Outside,D51,21,Robbery - Other
Commercial,D42,14,Robbery - Financial Institute
Outside,D52,9,Robbery - Purse Snatch
Outside,D13,23,Robbery - Mugging
Educational,D42,15,Robbery - Other
Outside,NSA,12,Robbery With Weapon
Outside,D51,5,Robbery - Mugging
Outside,D31,17,Robbery - Swarming
Commercial,D43,10,Robbery - Financial Institute
Outside,D23,21,Robbery - Mugging
Commercial,D32,16,Robbery - Mugging
Outside,D14,16,Robbery - Mugging
Commercial,D42,16,Robbery - Financial Institute
Other,D43,16,Robbery - Mugging
Outside,D32,6,Robbery - Purse Snatch
Transit,D41,16,Robbery - Other
House,D31,22,Robbery - Home Invasion
House,D31,22,Robbery - Home Invasion
House,D31,22,Robbery - Home Invasion
House,D31,22,Robbery - Home Invasion
Other,D14,22,Robbery - Other
House,D32,12,Robbery With Weapon
Outside,D13,19,Robbery - Mugging
Apartment,D41,16,Robbery With Weapon
Outside,D51,19,Robbery - Mugging
Outside,D42,17,Robbery - Purse Snatch
Transit,D41,16,Robbery - Purse Snatch
Commercial,D23,14,Robbery - Other
Commercial,D43,14,Robbery - Mugging
Outside,D54,20,Robbery With Weapon
Commercial,NSA,11,Robbery - Financial Institute
Commercial,D51,9,Robbery - Swarming
Commercial,NSA,18,Robbery - Financial Institute
Outside,D32,6,Robbery - Purse Snatch
Transit,D23,1,Robbery - Purse Snatch
Outside,D52,21,Robbery - Mugging
Outside,D51,23,Robbery - Other
Outside,D42,15,Robbery - Purse Snatch
Outside,D43,4,Robbery - Other
Outside,D11,0,Robbery With Weapon
Outside,NSA,2,Robbery - Mugging
Outside,D14,5,Robbery - Other
Other,D23,14,Robbery - Other
Outside,D23,18,Robbery - Vehicle Jacking
Outside,D23,18,Robbery - Vehicle Jacking
Commercial,D12,21,Robbery - Delivery Person
Outside,D13,0,Robbery - Mugging
Apartment,D12,17,Robbery - Delivery Person
Apartment,D43,21,Robbery - Mugging
Outside,D52,3,Robbery - Mugging
Outside,D32,23,Robbery - Swarming
Outside,D32,23,Robbery - Swarming
Commercial,D51,1,Robbery - Business
Commercial,D14,1,Robbery With Weapon
Outside,D11,2,Robbery - Other
Commercial,D55,2,Robbery - Mugging
Outside,D51,8,Robbery - Other
Outside,D22,15,Robbery - Swarming
Commercial,D43,19,Robbery - Business
Outside,D23,16,Robbery - Swarming
Commercial,D43,19,Robbery - Business
Outside,D55,19,Robbery - Other
Apartment,D13,22,Robbery - Home Invasion
Apartment,D13,22,Robbery - Home Invasion
Outside,D55,19,Robbery - Other
Outside,D22,15,Robbery - Mugging
Outside,D22,21,Robbery - Mugging
Commercial,D31,16,Robbery - Business
Transit,D32,23,Robbery - Swarming
Commercial,D51,7,Robbery With Weapon
Commercial,D52,19,Robbery - Other
Commercial,D52,19,Robbery - Business
Outside,D53,23,Robbery - Purse Snatch
Commercial,D14,20,Robbery - Business
Outside,D55,2,Robbery - Other
Outside,D32,23,Robbery - Other
Commercial,D13,19,Robbery - Business
Outside,D43,19,Robbery - Mugging
Commercial,D13,19,Robbery - Business
Outside,D31,17,Robbery - Mugging
Outside,D23,22,Robbery - Purse Snatch
Commercial,D23,1,Robbery - Business
Commercial,D23,1,Robbery - Business
Outside,D42,5,Robbery With Weapon
Commercial,D42,4,Robbery With Weapon
Educational,D14,15,Robbery - Mugging
Educational,D22,9,Robbery - Mugging
Outside,D52,0,Robbery - Mugging
Outside,D51,16,Robbery - Mugging
Outside,D12,15,Robbery - Other
Commercial,D51,13,Robbery - Other
Outside,D11,11,Robbery - Mugging
Outside,D23,13,Robbery - Mugging
Commercial,D23,23,Robbery With Weapon
Commercial,D11,22,Robbery - Mugging
Outside,D31,21,Robbery - Purse Snatch
Commercial,D14,19,Robbery - Mugging
Apartment,D31,14,Robbery - Home Invasion
Apartment,D12,19,Robbery - Delivery Person
Transit,D22,23,Robbery - Mugging
Commercial,D43,1,Robbery - Mugging
Outside,D23,15,Robbery - Mugging
Outside,D23,21,Robbery - Mugging
Apartment,D41,23,Robbery - Swarming
Outside,D11,23,Robbery With Weapon
Outside,D54,15,Robbery - Mugging
Commercial,D11,20,Robbery With Weapon
Outside,D41,20,Robbery - Other
Outside,D14,17,Robbery With Weapon
Commercial,D43,21,Robbery - Swarming
Commercial,D14,20,Robbery - Business
Outside,D41,20,Robbery - Mugging
Outside,D32,1,Robbery - Mugging
Outside,D52,0,Robbery - Other
Outside,D43,15,Robbery - Mugging
Outside,D23,1,Robbery - Vehicle Jacking
Outside,D33,21,Robbery With Weapon
Other,D11,19,Robbery - Mugging
Outside,D43,15,Robbery With Weapon
Other,D41,23,Robbery - Taxi
Apartment,D31,23,Robbery - Business
Commercial,D23,22,Robbery - Business
Outside,D32,9,Robbery - Mugging
Commercial,NSA,17,Robbery - Business
Outside,D52,3,Robbery - Mugging
Outside,D43,19,Robbery - Other
Outside,D14,0,Robbery With Weapon
Commercial,D32,21,Robbery - Business
Commercial,D23,22,Robbery - Business
Outside,D12,23,Robbery - Mugging
Outside,D41,15,Robbery - Mugging
Apartment,D11,18,Robbery - Mugging
Outside,D52,3,Robbery - Swarming
Commercial,D33,12,Robbery - Other
Commercial,D43,0,Robbery With Weapon
Outside,D55,21,Robbery - Purse Snatch
Outside,D23,21,Robbery - Other
Apartment,D12,23,Robbery - Other
Transit,D23,12,Robbery With Weapon
Apartment,D43,20,Robbery - Mugging
Commercial,D32,7,Robbery - Business
Commercial,D31,4,Robbery - Business
Outside,D13,3,Robbery - Mugging
Outside,D52,19,Robbery - Other
Outside,D12,16,Robbery - Swarming
Commercial,D31,15,Robbery - Business
Outside,D51,0,Robbery - Other
Outside,D33,23,Robbery - Vehicle Jacking
Outside,NSA,20,Robbery - Mugging
House,D43,0,Robbery With Weapon
Outside,D31,19,Robbery - Mugging
Commercial,D23,14,Robbery - Business
Commercial,D43,21,Robbery - Business
Outside,D42,1,Robbery - Vehicle Jacking
Outside,D32,3,Robbery - Mugging
Outside,D42,1,Robbery - Mugging
Commercial,NSA,14,Robbery - Business
Commercial,NSA,19,Robbery - Business
Commercial,NSA,17,Robbery - Business
Commercial,NSA,19,Robbery - Business
Commercial,NSA,19,Robbery - Business
Outside,D43,20,Robbery - Other
Outside,D43,23,Robbery With Weapon
Outside,D31,21,Robbery - Swarming
Outside,D31,21,Robbery - Swarming
Commercial,NSA,15,Robbery - Financial Institute
Outside,D32,14,Robbery - Mugging
Outside,D32,14,Robbery - Mugging
Outside,D23,15,Robbery - Mugging
Commercial,D33,17,Robbery - Other
Commercial,D33,17,Robbery - Other
Commercial,D14,18,Robbery - Business
Transit,D54,21,Robbery - Other
Outside,D51,8,Robbery - Mugging
Commercial,NSA,14,Robbery - Financial Institute
Commercial,D13,23,Robbery - Home Invasion
Commercial,D13,23,Robbery - Home Invasion
Transit,D54,20,Robbery - Other
Commercial,D13,15,Robbery - Financial Institute
Transit,NSA,20,Robbery - Other
Outside,D51,17,Robbery With Weapon
Outside,D11,2,Robbery - Mugging
Outside,D13,2,Robbery - Mugging
Outside,D51,4,Robbery With Weapon
Outside,D51,17,Robbery - Other
Outside,D31,18,Robbery With Weapon
Outside,D31,0,Robbery With Weapon
Outside,D51,0,Robbery - Mugging
Transit,D52,7,Robbery With Weapon
Outside,D31,14,Robbery - Swarming
Outside,D43,15,Robbery With Weapon
Outside,D23,2,Robbery - Purse Snatch
Outside,D51,2,Robbery - Mugging
Outside,D51,2,Robbery - Mugging
Outside,D43,0,Robbery With Weapon
Apartment,D42,23,Robbery - Other
Outside,D11,22,Robbery - Other
Commercial,D32,13,Robbery - Financial Institute
Commercial,D32,13,Robbery - Financial Institute
Commercial,D43,11,Robbery - Financial Institute
Commercial,D43,11,Robbery - Financial Institute
Commercial,D43,11,Robbery - Financial Institute
Commercial,D43,11,Robbery - Financial Institute
Outside,D33,8,Robbery - Mugging
Outside,D42,23,Robbery - Other
Outside,D23,0,Robbery - Purse Snatch
Outside,D23,0,Robbery - Mugging
Outside,D23,0,Robbery - Mugging
Outside,D41,0,Robbery - Delivery Person
Outside,D52,0,Robbery - Mugging
Outside,D11,20,Robbery With Weapon
Outside,D51,6,Robbery - Purse Snatch
Outside,D55,22,Robbery With Weapon
Commercial,D32,17,Robbery - Financial Institute
Apartment,D43,16,Robbery - Other
Apartment,D43,15,Robbery - Other
Outside,D12,2,Robbery - Mugging
Outside,D31,3,Robbery - Swarming
Outside,D31,3,Robbery - Swarming
Outside,D52,7,Robbery - Other
Transit,D12,17,Robbery - Other
Outside,D41,12,Robbery With Weapon
Outside,D52,7,Robbery - Other
Educational,D23,10,Robbery - Swarming
Outside,D41,23,Robbery - Purse Snatch
Outside,D12,18,Robbery - Other
Outside,D52,23,Robbery - Mugging
Outside,D14,23,Robbery - Other
Outside,D12,15,Robbery - Mugging
Outside,D12,15,Robbery - Mugging
Educational,D23,10,Robbery - Other
Apartment,D11,1,Robbery - Home Invasion
Commercial,D51,7,Robbery With Weapon
Outside,D42,2,Robbery - Mugging
Other,D54,1,Robbery - Mugging
Outside,D32,22,Robbery - Mugging
Commercial,D31,14,Robbery - Swarming
Transit,D11,19,Robbery - Swarming
Commercial,D11,13,Robbery - Mugging
Commercial,D23,12,Robbery - Business
Commercial,D54,23,Robbery - Business
Outside,D31,20,Robbery - Mugging
Commercial,D43,18,Robbery - Other
Commercial,D13,7,Robbery - Business
Commercial,D23,3,Robbery With Weapon
Commercial,D14,22,Robbery - Business
Outside,D23,15,Robbery - Other
Outside,D11,16,Robbery - Swarming
Outside,D11,16,Robbery - Swarming
Outside,D23,15,Robbery - Other
Outside,D23,22,Robbery With Weapon
Outside,D23,18,Robbery - Mugging
Outside,D23,18,Robbery - Mugging
Commercial,D51,11,Robbery - Business
Outside,D23,14,Robbery With Weapon
Commercial,D23,12,Robbery With Weapon
Outside,D41,3,Robbery - Mugging
Commercial,D23,12,Robbery - Business
Transit,D13,1,Robbery - Mugging
Transit,D13,1,Robbery - Mugging
Commercial,D23,12,Robbery - Business
Transit,D13,1,Robbery - Mugging
Outside,D53,0,Robbery - Mugging
Outside,D23,14,Robbery - Mugging
Outside,D23,22,Robbery With Weapon
Transit,D41,20,Robbery - Other
Outside,D23,20,Robbery - Swarming
Outside,D41,21,Robbery - Mugging
Outside,D23,19,Robbery With Weapon
Outside,D23,19,Robbery - Mugging
Outside,D41,18,Robbery - Mugging
Outside,D23,15,Robbery - Mugging
Apartment,D11,7,Robbery With Weapon
Outside,D31,13,Robbery - Swarming
Educational,D22,13,Robbery - Other
Apartment,D23,23,Robbery - Mugging
Outside,D23,22,Robbery - Mugging
Outside,D22,22,Robbery - Mugging
Outside,D53,13,Robbery - Mugging
Commercial,D41,13,Robbery With Weapon
House,D12,9,Robbery - Home Invasion
House,D12,9,Robbery - Home Invasion
Commercial,D11,3,Robbery - Business
Outside,D51,21,Robbery With Weapon
Outside,D43,1,Robbery With Weapon
Outside,D12,17,Robbery - Mugging
Outside,D55,15,Robbery - Mugging
Apartment,D13,23,Robbery - Armoured Car
Commercial,D12,9,Robbery - Financial Institute
Commercial,D12,9,Robbery - Financial Institute
Commercial,D12,9,Robbery - Financial Institute
Outside,D14,12,Robbery - Mugging
Outside,D14,12,Robbery - Mugging
Outside,D33,15,Robbery - Mugging
Outside,D55,16,Robbery With Weapon
Educational,D31,18,Robbery - Mugging
Educational,D31,18,Robbery - Mugging
Outside,D41,17,Robbery - Mugging
Outside,D51,21,Robbery With Weapon
Apartment,D13,23,Robbery - Other
Outside,D32,0,Robbery - Vehicle Jacking
Outside,D53,0,Robbery - Vehicle Jacking
Outside,D23,19,Robbery With Weapon
Outside,D14,20,Robbery - Purse Snatch
Commercial,D52,1,Robbery - Business
Commercial,D52,1,Robbery - Business
Outside,D23,20,Robbery With Weapon
Commercial,D12,2,Robbery - Mugging
Commercial,D12,2,Robbery - Mugging
Outside,D42,2,Robbery - Swarming
Outside,D12,4,Robbery - Other
Outside,D43,20,Robbery - Other
Outside,D31,1,Robbery - Taxi
Educational,D12,16,Robbery - Other
Outside,D55,18,Robbery - Other
Apartment,D51,2,Robbery With Weapon
Outside,D54,12,Robbery - Other
Commercial,NSA,16,Robbery - Financial Institute
Outside,D12,19,Robbery - Purse Snatch
Commercial,D14,12,Robbery - Business
Commercial,D14,12,Robbery - Business
Commercial,D23,2,Robbery - Business
Outside,D12,19,Robbery - Mugging
Apartment,D41,16,Robbery - Home Invasion
Commercial,D23,2,Robbery - Business
House,D42,4,Robbery - Home Invasion
House,D42,4,Robbery - Home Invasion
Apartment,D41,16,Robbery - Home Invasion
Outside,D12,17,Robbery - Mugging
Outside,D42,16,Robbery - Mugging
Outside,D12,18,Robbery With Weapon
Commercial,D12,11,Robbery - Financial Institute
Outside,D22,23,Robbery - Mugging
Outside,D12,16,Robbery - Mugging
Apartment,D51,20,Robbery - Mugging
Educational,D42,15,Robbery - Swarming
Outside,D53,14,Robbery - Mugging
House,D23,16,Robbery - Home Invasion
Apartment,D13,23,Robbery - Home Invasion
Apartment,D13,23,Robbery - Home Invasion
Outside,D54,21,Robbery - Purse Snatch
Outside,D55,21,Robbery - Other
Outside,D42,18,Robbery - Mugging
Outside,D33,20,Robbery With Weapon
Outside,D43,23,Robbery - Vehicle Jacking
Apartment,D51,14,Robbery - Other
House,D23,16,Robbery - Home Invasion
House,D23,16,Robbery - Home Invasion
Outside,D11,19,Robbery - Other
Commercial,D11,16,Robbery - Armoured Car
Commercial,D11,16,Robbery - Swarming
Commercial,D22,20,Robbery With Weapon
Commercial,D22,20,Robbery With Weapon
Outside,D41,22,Robbery With Weapon
Outside,D41,22,Robbery - Purse Snatch
Outside,D51,22,Robbery - Other
Outside,D55,1,Robbery - Mugging
Outside,D11,19,Robbery - Other
Commercial,D23,11,Robbery - Business
Outside,D14,0,Robbery With Weapon
Outside,D53,1,Robbery - Mugging
Commercial,D23,0,Robbery - Business
Outside,D42,22,Robbery With Weapon
Commercial,D41,22,Robbery - Business
Commercial,D41,22,Robbery - Business
Outside,D51,22,Robbery - Mugging
Outside,D12,15,Robbery - Mugging
Apartment,D43,17,Robbery - Mugging
Outside,D12,13,Robbery - Mugging
Outside,D12,15,Robbery - Mugging
Outside,D12,15,Robbery - Mugging
Outside,D52,1,Robbery With Weapon
Apartment,D23,5,Robbery With Weapon
Outside,D51,3,Robbery - Atm
Apartment,D43,3,Robbery - Other
Outside,D11,20,Robbery - Purse Snatch
Outside,D11,12,Robbery - Swarming
Outside,D11,12,Robbery - Swarming
Apartment,D14,15,Robbery - Home Invasion
Outside,D12,15,Robbery - Swarming
Outside,D12,15,Robbery - Swarming
Commercial,D13,19,Robbery - Business
Commercial,D51,1,Robbery - Business
Transit,D13,16,Robbery - Other
Outside,D54,17,Robbery - Mugging
Apartment,D31,19,Robbery With Weapon
House,D11,19,Robbery - Home Invasion
House,D11,19,Robbery - Home Invasion
House,D11,19,Robbery - Home Invasion
House,D11,19,Robbery - Home Invasion
Commercial,D23,21,Robbery - Business
House,D43,2,Robbery - Home Invasion
House,D43,2,Robbery - Home Invasion
House,D43,2,Robbery - Home Invasion
House,D43,2,Robbery - Home Invasion
House,D43,2,Robbery - Home Invasion
Outside,D31,15,Robbery With Weapon
Commercial,D23,9,Robbery - Business
Other,D43,20,Robbery - Mugging
Outside,D31,15,Robbery With Weapon
Commercial,D11,19,Robbery - Vehicle Jacking
Outside,D41,0,Robbery With Weapon
Outside,D41,0,Robbery With Weapon
House,D41,15,Robbery - Other
Commercial,D51,3,Robbery - Other
Commercial,D31,1,Robbery With Weapon
House,D41,15,Robbery - Home Invasion
Outside,D41,18,Robbery - Mugging
Apartment,D31,19,Robbery With Weapon
Transit,D54,19,Robbery - Mugging
Outside,D14,20,Robbery - Swarming
Outside,D12,16,Robbery With Weapon
Outside,D11,12,Robbery - Mugging
Outside,D14,2,Robbery - Mugging
Apartment,D54,4,Robbery - Other
Outside,D14,20,Robbery - Mugging
Outside,D42,0,Robbery - Purse Snatch
Educational,D42,12,Robbery - Mugging
Educational,D22,15,Robbery - Swarming
Outside,D32,17,Robbery With Weapon
Apartment,D41,17,Robbery - Mugging
Outside,D11,20,Robbery - Purse Snatch
Outside,D11,20,Robbery - Other
Commercial,D12,23,Robbery - Business
Commercial,D14,19,Robbery - Business
Outside,D53,17,Robbery - Swarming
Outside,D23,16,Robbery - Swarming
Outside,D22,13,Robbery With Weapon
Outside,D51,15,Robbery - Vehicle Jacking
Outside,D22,13,Robbery - Mugging
Outside,D22,13,Robbery - Mugging
Outside,D55,15,Robbery With Weapon
Outside,D55,15,Robbery With Weapon
Outside,D55,15,Robbery With Weapon
Outside,D14,1,Robbery - Mugging
Outside,D23,22,Robbery - Mugging
Outside,D22,23,Robbery - Purse Snatch
Outside,D55,21,Robbery - Swarming
Commercial,D43,21,Robbery - Other
Commercial,D43,21,Robbery - Other
Commercial,D43,21,Robbery - Other
Commercial,D43,21,Robbery - Other
Outside,D23,16,Robbery - Swarming
Outside,D53,23,Robbery - Swarming
Outside,D53,23,Robbery - Swarming
Outside,D14,16,Robbery - Mugging
Outside,D51,23,Robbery - Mugging
Outside,D22,21,Robbery With Weapon
Outside,D22,23,Robbery - Mugging
Outside,D22,23,Robbery - Mugging
Apartment,D41,20,Robbery - Mugging
Commercial,D13,11,Robbery - Financial Institute
Outside,D53,23,Robbery - Swarming
Outside,D33,22,Robbery - Mugging
Outside,D33,22,Robbery - Mugging
Commercial,D14,4,Robbery - Business
Commercial,D14,4,Robbery - Business
Apartment,D51,1,Robbery - Home Invasion
Apartment,D51,1,Robbery - Other
Commercial,D13,11,Robbery - Financial Institute
Commercial,D33,15,Robbery With Weapon
Commercial,D33,15,Robbery With Weapon
Outside,D11,22,Robbery With Weapon
Transit,D11,16,Robbery - Other
Outside,D23,0,Robbery - Vehicle Jacking
Outside,D52,4,Robbery - Mugging
Commercial,D54,8,Robbery - Other
Apartment,D14,7,Robbery With Weapon
Outside,D31,1,Robbery - Swarming
Outside,D32,15,Robbery - Mugging
Outside,D52,21,Robbery - Swarming
Apartment,D12,0,Robbery - Home Invasion
Transit,D11,16,Robbery - Mugging
Outside,D52,2,Robbery - Mugging
Outside,D32,22,Robbery - Swarming
