PREMISES_TYPE,DIVISION,OCC_HOUR,OFFENCE
Commercial,D22,15,Robbery - Business
Transit,D53,22,Robbery - Swarming
Outside,D55,22,Robbery - Mugging
Outside,D11,10,Robbery With Weapon
Outside,D51,2,Robbery - Mugging
Outside,D32,19,Robbery - Swarming
Outside,D31,23,Robbery - Purse Snatch
Outside,D51,19,Robbery - Mugging
Outside,D23,20,Robbery - Mugging
Outside,D52,20,Robbery - Other
Outside,D51,18,Robbery - Mugging
Commercial,D33,22,Robbery - Armoured Car
Commercial,D33,22,Robbery - Armoured Car
Outside,D41,18,Robbery - Mugging
Outside,NSA,22,Robbery - Other
House,D41,15,Robbery - Mugging
Outside,D42,4,Robbery With Weapon
Outside,D51,3,Robbery - Mugging
Commercial,D13,14,Robbery - Financial Institute
Educational,D31,10,Robbery - Swarming
Outside,D51,16,Robbery - Other
Educational,D31,10,Robbery - Swarming
House,D41,15,Robbery - Other
Apartment,D41,15,Robbery - Other
Educational,D52,18,Robbery - Mugging
Apartment,D41,15,Robbery - Other
Outside,D13,15,Robbery With Weapon
Commercial,D52,2,Robbery With Weapon
Commercial,D52,2,Robbery With Weapon
Commercial,D52,2,Robbery With Weapon
Commercial,D52,2,Robbery With Weapon
Commercial,D52,2,Robbery With Weapon
Commercial,D52,13,Robbery With Weapon
Commercial,D52,13,Robbery With Weapon
Commercial,D52,13,Robbery With Weapon
Commercial,D52,13,Robbery With Weapon
Commercial,D52,13,Robbery With Weapon
Commercial,D52,13,Robbery With Weapon
Commercial,D23,1,Robbery - Other
House,NSA,15,Robbery - Home Invasion
House,NSA,15,Robbery - Home Invasion
Commercial,NSA,16,Robbery - Business
Commercial,D52,2,Robbery With Weapon
Apartment,D41,15,Robbery - Swarming
Commercial,D12,10,Robbery - Financial Institute
Outside,D22,14,Robbery - Other
Outside,D31,21,Robbery - Purse Snatch
Outside,D23,22,Robbery - Mugging
Transit,D14,22,Robbery - Purse Snatch
Outside,D41,15,Robbery - Mugging
Outside,D14,20,Robbery - Mugging
Outside,D31,22,Robbery - Taxi
Outside,D54,11,Robbery - Other
Other,D23,17,Robbery With Weapon
Outside,D23,15,Robbery - Mugging
Outside,D41,15,Robbery - Other
Outside,D41,15,Robbery - Other
Outside,D13,23,Robbery - Purse Snatch
Outside,NSA,16,Robbery - Mugging
Outside,NSA,16,Robbery - Mugging
Commercial,D13,15,Robbery - Financial Institute
Outside,D53,22,Robbery - Other
Educational,D31,9,Robbery - Mugging
Outside,D41,13,Robbery - Swarming
Outside,D33,16,Robbery - Mugging
Commercial,D31,3,Robbery - Business
Outside,D42,20,Robbery With Weapon
Commercial,D31,21,Robbery - Business
Apartment,D51,4,Robbery With Weapon
Commercial,D14,5,Robbery - Business
Outside,D43,12,Robbery - Mugging
Outside,D42,23,Robbery - Mugging
Apartment,D31,22,Robbery - Mugging
Outside,D23,16,Robbery - Other
Outside,D52,6,Robbery - Mugging
Outside,D12,1,Robbery - Mugging
Commercial,D23,15,Robbery - Financial Institute
Outside,D11,22,Robbery - Mugging
Transit,D41,19,Robbery - Mugging
Apartment,D54,17,Robbery - Swarming
Outside,D53,19,Robbery - Mugging
Outside,D33,16,Robbery - Purse Snatch
Apartment,D54,17,Robbery - Other
Commercial,D11,20,Robbery - Business
Commercial,D54,7,Robbery With Weapon
Transit,D43,14,Robbery - Mugging
Apartment,D54,20,Robbery - Other
Commercial,D53,20,Robbery With Weapon
Educational,D53,16,Robbery - Mugging
Outside,D42,15,Robbery - Other
Outside,D23,12,Robbery - Other
Outside,D55,22,Robbery With Weapon
Outside,D55,22,Robbery With Weapon
Commercial,D23,21,Robbery - Purse Snatch
Outside,D23,7,Robbery - Mugging
Commercial,D32,16,Robbery - Financial Institute
Outside,D42,15,Robbery - Swarming
Outside,D32,20,Robbery - Swarming
Outside,D33,23,Robbery - Purse Snatch
Outside,D51,20,Robbery - Mugging
Outside,D42,19,Robbery - Purse Snatch
Outside,D51,6,Robbery - Mugging
Commercial,D43,3,Robbery - Business
Commercial,D31,0,Robbery - Business
Outside,D11,0,Robbery With Weapon
Outside,D11,0,Robbery - Other
Outside,D11,17,Robbery - Other
Outside,D55,6,Robbery - Taxi
Apartment,D43,0,Robbery - Home Invasion
Commercial,D14,3,Robbery - Business
Commercial,D43,11,Robbery - Financial Institute
Outside,D13,1,Robbery - Purse Snatch
Outside,NSA,16,Robbery - Mugging
Outside,D51,16,Robbery - Mugging
Outside,D52,16,Robbery - Swarming
Outside,D55,2,Robbery - Taxi
Commercial,D41,0,Robbery - Other
Outside,D41,12,Robbery - Mugging
Commercial,D54,4,Robbery - Business
House,D55,17,Robbery With Weapon
Commercial,D33,19,Robbery - Vehicle Jacking
Commercial,D41,0,Robbery - Mugging
Educational,D23,23,Robbery - Other
Educational,D23,23,Robbery - Other
Commercial,D33,19,Robbery - Financial Institute
Outside,D14,14,Robbery - Mugging
Outside,D42,16,Robbery - Other
Outside,D51,17,Robbery With Weapon
Outside,D14,3,Robbery - Swarming
Transit,D14,9,Robbery - Mugging
Outside,D52,12,Robbery - Other
Outside,D43,12,Robbery With Weapon
Transit,D11,1,Robbery - Swarming
Commercial,D33,2,Robbery With Weapon
Outside,D14,3,Robbery - Swarming
